measurement_data;state_data;mode_probabilities;state_errors
[28.18053594, 7.56180285, 1.00805253, 28.64985688, 7.50205982, 1.00068134];[28.6869937, 7.54378227, 1.00047363, 28.70086203, 7.56006754, 1.00044865];[0.00296641, 0.99703359];[5.06457756e-01, 1.80205822e-02, 7.57890330e-03, 5.10051469e-02, 5.80077166e-02, 2.32693652e-04]
[29.78574606, 7.61380462, 1.00838492, 29.50204952, 7.64469197, 1.00865248];[29.47276764, 7.65767243, 1.00047047, 29.46445134, 7.661423, 1.0004732];[0.0029663, 0.9970337];[0.31297842, 0.04386781, 0.00791445, 0.03759818, 0.01673103, 0.00817928]
[30.50914722, 7.75430382, 1.00786384, 29.72802021, 7.74211776, 1.00467582];[30.2651156, 7.77030513, 1.00047429, 30.19317274, 7.7372738, 1.00046503];[0.00296632, 0.99703368];[0.24403162, 0.01600131, 0.00738955, 0.46515253, 0.00484396, 0.00421079]
[30.8149953, 7.81515237, 1.00738124, 30.80260271, 7.83901014, 1.0072273];[31.02561833, 7.85582039, 1.00046379, 30.95812613, 7.83032361, 1.00047381];[0.00296631, 0.99703369];[0.21062303, 0.04066802, 0.00691745, 0.15552342, 0.00868653, 0.00675349]
[31.65796935, 7.93445401, 1.00106176, 31.3783575, 7.95337948, 1.00650012];[31.8022718, 7.94691057, 1.00045745, 31.71711909, 7.91542988, 1.00047644];[0.00296633, 0.99703367];[0.14430245, 0.01245656, 0.00060431, 0.33876159, 0.0379496, 0.00602368]
[32.40513615, 8.01026336, 1.00485145, 32.91236576, 8.05271382, 1.00794363];[32.5841748, 8.03532723, 1.00046195, 32.54799906, 8.03721655, 1.00048205];[0.00296631, 0.99703369];[0.17903865, 0.02506387, 0.0043895, 0.3643667, 0.01549727, 0.00746158]
[33.10229207, 8.15745815, 1.00992141, 33.78751522, 8.14060287, 1.00594154];[33.36995819, 8.12471806, 1.00048277, 33.39212829, 8.15816828, 1.00047199];[0.00296625, 0.99703375];[0.26766612, 0.03274009, 0.00943864, 0.39538693, 0.01756541, 0.00546955]
[34.26985931, 8.2466528, 1.00294886, 34.2249583, 8.22385282, 1.00940868];[34.19518179, 8.23056414, 1.00046951, 34.21235362, 8.25618696, 1.0004716];[0.00296624, 0.99703376];[0.07467752, 0.01608866, 0.00247935, 0.01260468, 0.03233414, 0.00893708]
[35.13954114, 8.39620115, 1.0014867, 35.0614031, 8.30566174, 1.00004206];[35.03576721, 8.34140246, 1.00047446, 35.04216205, 8.35303762, 1.00045025];[0.00296631, 0.99703369];[0.10377393, 0.05479869, 0.00101224, 0.01924105, 0.04737588, 0.00040819]
[35.64068339, 8.45267938, 1.0034986, 35.361216, 8.40349722, 1.00595358];[35.85625827, 8.43189724, 1.00046842, 35.83753842, 8.42539039, 1.00046155];[0.00296629, 0.99703371];[0.21557488, 0.02078214, 0.00303018, 0.47632242, 0.02189317, 0.00549203]
[36.89350013, 8.50164838, 1.00608008, 36.16437121, 8.59703775, 1.00964847];[36.71853025, 8.53865638, 1.00046579, 36.64575542, 8.50791004, 1.00049131];[0.00296628, 0.99703372];[0.17496988, 0.037008, 0.00561429, 0.48138421, 0.08912771, 0.00915716]
[37.24187348, 8.63864129, 1.00129022, 37.8944473, 8.62440667, 1.00777759];[37.54993923, 8.62337752, 1.00046184, 37.5344547, 8.62740698, 1.00047817];[0.00296632, 0.99703368];[0.30806575, 0.01526377, 0.00082838, 0.3599926, 0.00300031, 0.00729942]
[38.74863555, 8.72180269, 1.00092423, 38.57383983, 8.72477748, 1.00740406];[38.44431997, 8.73853835, 1.00046087, 38.41612045, 8.73515322, 1.00047364];[0.00296631, 0.99703369];[0.30431558, 0.01673566, 0.00046336, 0.15771938, 0.01037574, 0.00693042]
[39.55610611, 8.86316658, 1.00813191, 39.01055589, 8.85406192, 1.00600976];[39.3433649, 8.85198411, 1.00047979, 39.27225699, 8.82440616, 1.00047472];[0.00296625, 0.99703375];[0.21274121, 0.01118247, 0.00765212, 0.2617011, 0.02965576, 0.00553504]
[40.19812266, 8.90414775, 1.00252547, 40.58122214, 8.97599498, 1.0095078];[40.22846818, 8.94667962, 1.00045575, 40.19655846, 8.94819868, 1.00048773];[0.00296633, 0.99703367];[0.03034552, 0.04253187, 0.00206972, 0.38466368, 0.0277963, 0.00902007]
[41.07202082, 9.04938557, 1.00499816, 40.75684642, 9.00354315, 1.00044538];[41.12366837, 9.04478311, 1.00046947, 41.06654516, 9.02942471, 1.00045235];[0.00296636, 0.99703364];[5.16475479e-02, 4.60245852e-03, 4.52868612e-03, 3.09698736e-01, 2.58815577e-02, 6.97216443e-06]
