measurement_data;state_data;mode_probabilities;state_errors
[1.391112e+04, 1.668000e+02, 1.000000e+00, 1.391112e+04, 1.668000e+02, 1.000000e+00];[1.40097658e+04, 1.19929251e+02, 8.51463716e+00, 1.39773952e+04, 1.16340545e+02, 1.09272125e+01];[0.50000463, 0.49999537];[98.64575666, 46.87074853, 7.51463716, 66.27524244, 50.45945474, 9.92721253]
[1.3927805e+04, 1.6690000e+02, 1.0000000e+00, 1.3927805e+04, 1.6690000e+02, 1.0000000e+00];[1.40255469e+04, 1.13040123e+02, 7.69887312e+00, 1.39812536e+04, 1.10767235e+02, 1.09504374e+01];[0.50000417, 0.49999583];[97.74187461, 53.85987724, 6.69887312, 53.44856663, 56.13276471, 9.95043735]
[1.3961205e+04, 1.6710000e+02, 1.0000000e+00, 1.3961205e+04, 1.6710000e+02, 1.0000000e+00];[1.40424736e+04, 1.12300391e+02, 1.17587399e+01, 1.39974197e+04, 1.14842059e+02, 1.54596166e+01];[0.50000375, 0.49999625];[81.26861747, 54.79960909, 10.75873994, 36.2147273, 52.25794107, 14.45961662]
[1.397792e+04, 1.672000e+02, 1.000000e+00, 1.397792e+04, 1.672000e+02, 1.000000e+00];[14058.93252481, 112.81117024, 16.49729595, 14015.15317774, 120.10694897, 20.07302753];[0.50000338, 0.49999662];[81.01252481, 54.38882976, 15.49729595, 37.23317774, 47.09305103, 19.07302753]
[1.3994645e+04, 1.6730000e+02, 1.0000000e+00, 1.3994645e+04, 1.6730000e+02, 1.0000000e+00];[14075.36853334, 114.05989393, 18.31627263, 14034.66756423, 125.07658748, 20.32381773];[0.50000304, 0.49999696];[80.72353334, 53.24010607, 17.31627263, 40.02256423, 42.22341252, 19.32381773]
[1.4028125e+04, 1.6750000e+02, 1.0000000e+00, 1.4028125e+04, 1.6750000e+02, 1.0000000e+00];[14097.05288355, 119.8818266, 20.78274253, 14063.31411769, 133.98930084, 20.77513023];[0.50000273, 0.49999727];[68.92788355, 47.6181734, 19.78274253, 35.18911769, 33.51069916, 19.77513023]
[1.404488e+04, 1.676000e+02, 1.000000e+00, 1.404488e+04, 1.676000e+02, 1.000000e+00];[14117.68352601, 124.73805799, 21.8296371, 14089.19566053, 139.69300982, 19.85939234];[0.50000246, 0.49999754];[72.80352601, 42.86194201, 20.8296371, 44.31566053, 27.90699018, 18.85939234]
[1.4061645e+04, 1.6770000e+02, 1.0000000e+00, 1.4061645e+04, 1.6770000e+02, 1.0000000e+00];[14136.41057004, 123.40929188, 19.42338543, 14111.83434294, 137.57188763, 16.17183457];[0.50000221, 0.49999779];[74.76557004, 44.29070812, 18.42338543, 50.18934294, 30.12811237, 15.17183457]
[1.407842e+04, 1.678000e+02, 1.000000e+00, 1.407842e+04, 1.678000e+02, 1.000000e+00];[1.41517790e+04, 1.17702266e+02, 1.43604514e+01, 1.41300551e+04, 1.31179667e+02, 1.15116841e+01];[0.50000199, 0.49999801];[73.35898386, 50.09773429, 13.36045139, 51.63505835, 36.62033332, 10.5116841]
[1.4095205e+04, 1.6790000e+02, 1.0000000e+00, 1.4095205e+04, 1.6790000e+02, 1.0000000e+00];[1.41647888e+04, 1.11992264e+02, 1.30273251e+01, 1.41460990e+04, 1.25421543e+02, 1.05688086e+01];[0.50000179, 0.49999821];[69.58375875, 55.90773584, 12.02732505, 50.89404978, 42.47845746, 9.56880858]
[1.4112e+04, 1.6800e+02, 1.0000e+00, 1.4112e+04, 1.6800e+02, 1.0000e+00];[1.41781373e+04, 1.09903304e+02, 1.55013826e+01, 1.41630754e+04, 1.23200633e+02, 1.26687995e+01];[0.50000161, 0.49999839];[66.13733914, 58.09669621, 14.50138263, 51.07538462, 44.79936746, 11.66879952]
[1.4128805e+04, 1.6810000e+02, 1.0000000e+00, 1.4128805e+04, 1.6810000e+02, 1.0000000e+00];[14193.14829931, 111.6318209, 19.40421433, 14181.85703202, 124.0875069, 15.77348465];[0.50000145, 0.49999855];[64.34329931, 56.4681791, 18.40421433, 53.05203202, 44.0124931, 14.77348465]
