measurement_data;state_data;mode_probabilities;state_errors
[28.125, 7.5, 1., 28.125, 7.5, 1.];[28.12499557, 7.49998132, 0.99985068, 28.12499557, 7.49998132, 0.99985068];[9.99851144e-01, 1.48856399e-04];[4.42503482e-06, 1.86817933e-05, 1.49322108e-04, 4.42503482e-06, 1.86817933e-05, 1.49322108e-04]
[28.88, 7.6, 1., 28.88, 7.6, 1.];[28.8799957, 7.59998123, 0.99985068, 28.8799957, 7.59998123, 0.99985068];[9.99851144e-01, 1.48856394e-04];[4.30344581e-06, 1.87712989e-05, 1.49317090e-04, 4.30344581e-06, 1.87712989e-05, 1.49317090e-04]
[29.645, 7.7, 1., 29.645, 7.7, 1.];[29.6449958, 7.69998115, 0.99985069, 29.6449958, 7.69998115, 0.99985069];[9.99851144e-01, 1.48856391e-04];[4.19570665e-06, 1.88526325e-05, 1.49312523e-04, 4.19570665e-06, 1.88526325e-05, 1.49312523e-04]
[30.42, 7.8, 1., 30.42, 7.8, 1.];[30.4199959, 7.79998107, 0.99985069, 30.4199959, 7.79998107, 0.99985069];[9.99851144e-01, 1.48856388e-04];[4.10031353e-06, 1.89263894e-05, 1.49308376e-04, 4.10031353e-06, 1.89263894e-05, 1.49308376e-04]
[31.205, 7.9, 1., 31.205, 7.9, 1.];[31.20499598, 7.89998101, 0.9998507, 31.20499598, 7.89998101, 0.9998507];[9.99851144e-01, 1.48856386e-04];[4.01591525e-06, 1.89931485e-05, 1.49304618e-04, 4.01591524e-06, 1.89931485e-05, 1.49304618e-04]
[32., 8., 1., 32., 8., 1.];[31.99999606, 7.99998095, 0.9998507, 31.99999606, 7.99998095, 0.9998507];[9.99851144e-01, 1.48856384e-04];[3.94129938e-06, 1.90534670e-05, 1.49301217e-04, 3.94129938e-06, 1.90534670e-05, 1.49301217e-04]
[32.805, 8.1, 1., 32.805, 8.1, 1.];[32.80499612, 8.09998089, 0.9998507, 32.80499612, 8.09998089, 0.9998507];[9.99851144e-01, 1.48856383e-04];[3.87537936e-06, 1.91078760e-05, 1.49298147e-04, 3.87537936e-06, 1.91078760e-05, 1.49298147e-04]
[33.62, 8.2, 1., 33.62, 8.2, 1.];[33.61999618, 8.19998084, 0.9998507, 33.61999618, 8.19998084, 0.9998507];[9.99851144e-01, 1.48856382e-04];[3.81718262e-06, 1.91568786e-05, 1.49295379e-04, 3.81718262e-06, 1.91568786e-05, 1.49295379e-04]
[34.445, 8.3, 1., 34.445, 8.3, 1.];[34.44499623, 8.2999808, 0.99985071, 34.44499623, 8.2999808, 0.99985071];[9.99851144e-01, 1.48856381e-04];[3.76583959e-06, 1.92009473e-05, 1.49292886e-04, 3.76583959e-06, 1.92009473e-05, 1.49292886e-04]
[35.28, 8.4, 1., 35.28, 8.4, 1.];[35.27999628, 8.39998076, 0.99985071, 35.27999628, 8.39998076, 0.99985071];[9.99851144e-01, 1.48856381e-04];[3.72057366e-06, 1.92405245e-05, 1.49290646e-04, 3.72057366e-06, 1.92405245e-05, 1.49290646e-04]
[36.125, 8.5, 1., 36.125, 8.5, 1.];[36.12499632, 8.49998072, 0.99985071, 36.12499632, 8.49998072, 0.99985071];[9.99851144e-01, 1.48856380e-04];[3.68069193e-06, 1.92760216e-05, 1.49288635e-04, 3.68069192e-06, 1.92760216e-05, 1.49288635e-04]
[36.98, 8.6, 1., 36.98, 8.6, 1.];[36.97999635, 8.59998069, 0.99985071, 36.97999635, 8.59998069, 0.99985071];[9.99851144e-01, 1.48856380e-04];[3.64557684e-06, 1.93078196e-05, 1.49286831e-04, 3.64557683e-06, 1.93078196e-05, 1.49286831e-04]
[37.845, 8.7, 1., 37.845, 8.7, 1.];[37.84499639, 8.69998066, 0.99985071, 37.84499639, 8.69998066, 0.99985071];[9.99851144e-01, 1.48856380e-04];[3.61467853e-06, 1.93362707e-05, 1.49285216e-04, 3.61467851e-06, 1.93362707e-05, 1.49285216e-04]
[38.72, 8.8, 1., 38.72, 8.8, 1.];[38.71999641, 8.79998064, 0.99985072, 38.71999641, 8.79998064, 0.99985072];[9.99851144e-01, 1.48856380e-04];[3.58750781e-06, 1.93616984e-05, 1.49283772e-04, 3.58750779e-06, 1.93616984e-05, 1.49283772e-04]
[39.605, 8.9, 1., 39.605, 8.9, 1.];[39.60499644, 8.89998062, 0.99985072, 39.60499644, 8.89998062, 0.99985072];[9.99851144e-01, 1.48856380e-04];[3.56362987e-06, 1.93843996e-05, 1.49282481e-04, 3.56362987e-06, 1.93843996e-05, 1.49282481e-04]
[40.5, 9., 1., 40.5, 9., 1.];[40.49999646, 8.9999806, 0.99985072, 40.49999646, 8.9999806, 0.99985072];[9.99851144e-01, 1.48856379e-04];[3.54265867e-06, 1.94046459e-05, 1.49281330e-04, 3.54265865e-06, 1.94046459e-05, 1.49281330e-04]
[41.405, 9.1, 1., 41.405, 9.1, 1.];[41.40499648, 9.09998058, 0.99985072, 41.40499648, 9.09998058, 0.99985072];[9.99851144e-01, 1.48856379e-04];[3.52425155e-06, 1.94226849e-05, 1.49280303e-04, 3.52425154e-06, 1.94226849e-05, 1.49280303e-04]
[42.32, 9.2, 1., 42.32, 9.2, 1.];[42.31999649, 9.19998056, 0.99985072, 42.31999649, 9.19998056, 0.99985072];[9.99851144e-01, 1.48856379e-04];[3.50810482e-06, 1.94387420e-05, 1.49279388e-04, 3.50810480e-06, 1.94387420e-05, 1.49279388e-04]
[43.245, 9.3, 1., 43.245, 9.3, 1.];[43.24499651, 9.29998055, 0.99985072, 43.24499651, 9.29998055, 0.99985072];[9.99851144e-01, 1.48856379e-04];[3.49394941e-06, 1.94530219e-05, 1.49278574e-04, 3.49394939e-06, 1.94530219e-05, 1.49278574e-04]
[44.18, 9.4, 1., 44.18, 9.4, 1.];[44.17999652, 9.39998053, 0.99985072, 44.17999652, 9.39998053, 0.99985072];[9.99851144e-01, 1.48856379e-04];[3.48154713e-06, 1.94657100e-05, 1.49277850e-04, 3.48154711e-06, 1.94657100e-05, 1.49277850e-04]
