measurement_data;state_data;mode_probabilities;state_errors
[0.7451744, -0.06668696, -0.00745174, 0.66686964, 0.07451744, -0.0066687];[0.75560543, -0.06979888, -0.0056213, 0.65225779, 0.07919242, -0.01346311];[6.34996978e-09, 9.99999994e-01];[0.01043103, 0.00311192, 0.00183044, 0.01461185, 0.00467498, 0.00679441]
[0.73846856, -0.06742879, -0.00738469, 0.67428791, 0.07384686, -0.00674288];[0.74789895, -0.0705555, -0.00521381, 0.66109467, 0.07822486, -0.01365794];[6.34997308e-09, 9.99999994e-01];[0.00943039, 0.00312671, 0.00217088, 0.01319324, 0.004378, 0.00691506]
[0.73168887, -0.06816388, -0.00731689, 0.68163876, 0.07316889, -0.00681639];[0.74020097, -0.07121766, -0.00481396, 0.66973354, 0.07720246, -0.01379123];[6.34997621e-09, 9.99999994e-01];[0.0085121, 0.00305378, 0.00250293, 0.01190522, 0.00403357, 0.00697484]
[0.71791067, -0.06961352, -0.00717911, 0.69613524, 0.07179107, -0.00696135];[0.73189784, -0.0723684, -0.00482231, 0.67874827, 0.07649179, -0.01386794];[6.34996250e-09, 9.99999994e-01];[0.01398717, 0.00275488, 0.0023568, 0.01738697, 0.00470072, 0.00690659]
[0.71091354, -0.07032794, -0.00710914, 0.70327942, 0.07109135, -0.00703279];[0.72361927, -0.07335438, -0.00466555, 0.6875429, 0.07566135, -0.01398545];[6.34996664e-09, 9.99999994e-01];[0.01270573, 0.00302644, 0.00244359, 0.01573652, 0.00457, 0.00695266]
[0.70384532, -0.07103533, -0.00703845, 0.71035327, 0.07038453, -0.00710353];[0.71536454, -0.07419886, -0.00440881, 0.69612444, 0.07473759, -0.01410315];[6.34997034e-09, 9.99999994e-01];[0.01151922, 0.00316353, 0.00262964, 0.01422883, 0.00435306, 0.00699962]
[0.69670671, -0.07173561, -0.00696707, 0.71735609, 0.06967067, -0.00717356];[0.70713214, -0.074925, -0.00410339, 0.70450035, 0.07374452, -0.0141927];[6.34997374e-09, 9.99999994e-01];[0.01042543, 0.00318939, 0.00286368, 0.01285574, 0.00407385, 0.00701914]
[0.68949843, -0.07242872, -0.00689498, 0.72428717, 0.06894984, -0.00724287];[0.69891976, -0.07555498, -0.00378827, 0.71267844, 0.07270329, -0.01423599];[6.34997681e-09, 9.99999994e-01];[0.00942133, 0.00312626, 0.00310671, 0.01160873, 0.00375345, 0.00699312]
[0.68222121, -0.07311458, -0.00682221, 0.73114583, 0.06822212, -0.00731146];[0.69072444, -0.07610936, -0.00349181, 0.72066671, 0.07163202, -0.01422315];[6.34997969e-09, 9.99999994e-01];[0.00850323, 0.00299478, 0.0033304, 0.01047912, 0.0034099, 0.00691169]
[0.67487576, -0.07379314, -0.00674876, 0.73793137, 0.06748758, -0.00737931];[0.68254269, -0.07660664, -0.00323329, 0.72847321, 0.0705458, -0.0141508];[6.34998228e-09, 9.99999994e-01];[0.00766693, 0.0028135, 0.00351547, 0.00945816, 0.00305822, 0.00677149]
[0.66746283, -0.07446431, -0.00667463, 0.74464312, 0.06674628, -0.00744643];[0.67437058, -0.07706301, -0.00302455, 0.73610591, 0.06945679, -0.01402046];[6.34998450e-09, 9.99999994e-01];[0.00690775, 0.0025987, 0.00365008, 0.00853721, 0.00271051, 0.00657403]
[0.65998315, -0.07512804, -0.00659983, 0.75128041, 0.06599831, -0.0075128];[0.6662039, -0.0774923, -0.00287141, 0.74357259, 0.06837443, -0.01383711];[6.34998631e-09, 9.99999994e-01];[0.00622075, 0.00236426, 0.00372842, 0.00770782, 0.00237612, 0.00632431]
[0.65243747, -0.07578426, -0.00652437, 0.75784256, 0.06524375, -0.00757843];[0.65803825, -0.07790596, -0.00277499, 0.75088073, 0.06730566, -0.01360806];[6.34998776e-09, 9.99999994e-01];[0.00560078, 0.0021217, 0.00374938, 0.00696183, 0.00206191, 0.00602963]
[0.64482655, -0.07643289, -0.00644827, 0.76432894, 0.06448265, -0.00764329];[0.64986921, -0.07831319, -0.00273296, 0.75803746, 0.06625529, -0.01334198];[6.34998876e-09, 9.99999994e-01];[0.00504266, 0.0018803, 0.00371531, 0.00629148, 0.00177264, 0.00569869]
[0.63715114, -0.07707389, -0.00637151, 0.77073888, 0.06371511, -0.00770739];[0.64169238, -0.0787211, -0.00274046, 0.76504947, 0.06522624, -0.01304809];[6.34998939e-09, 9.99999994e-01];[0.00454124, 0.00164721, 0.00363105, 0.00568941, 0.00151113, 0.0053407]
[0.61374575, -0.07895037, -0.00613746, 0.78950374, 0.06137457, -0.00789504];[0.63213991, -0.08034153, -0.00353038, 0.77287978, 0.06475458, -0.01286669];[6.34995455e-09, 9.99999994e-01];[0.01839416, 0.00139116, 0.00260708, 0.01662396, 0.00338001, 0.00497165]
[0.60582016, -0.07956016, -0.0060582, 0.79560162, 0.06058202, -0.00795602];[0.62262433, -0.08172606, -0.00389811, 0.78050704, 0.06413205, -0.01284496];[6.34995943e-09, 9.99999994e-01];[0.01680417, 0.0021659, 0.00216009, 0.01509458, 0.00355003, 0.00488894]
[0.59783398, -0.08016199, -0.00597834, 0.80161994, 0.0597834, -0.0080162];[0.61314769, -0.08289428, -0.00395712, 0.78793485, 0.0633814, -0.01292042];[6.34996392e-09, 9.99999994e-01];[0.01531371, 0.00273229, 0.00202122, 0.01368509, 0.003598, 0.00490422]
